Sender,Addressee,Source
Ray Johnson,John Held Jr.,A
Hans Fricker,John Held Jr.,A
Joachim Strange,John Held Jr.,A
Carol Schneck,John Held Jr.,A
Robin Crozier,John Held Jr.,A
Pat Larter,John Held Jr.,A
Edgardo Vigo,John Held Jr.,A
Gerard Barbot,John Held Jr.,A
Vittore Baroni,John Held Jr.,A
Svjetlana Mimica,John Held Jr.,A
Rea Nikonova,John Held Jr.,A
Tony Lowes,John Held Jr.,A
Clemente Padin,John Held Jr.,A
Elizabeth Was,John Held Jr.,A
Ben Vautier,John Held Jr.,A
Rea Nikonova,John Held Jr.,A
Leonhard Frank Duch,John Held Jr.,A
Hans Ruedi Fricker,John Held Jr.,A
John Held Jr.,Laura MacCarthy,A
Cesar Espinosa and Colectivo 3,John Held Jr.,A
Graciela G. Marx,John Held Jr.,A
Clemente Padin,John Held Jr.,A
Clemente Padin,John Held Jr.,A
H.R. Fricker,Angela and Peter,A
Buster Cleveland,John Evans,A
John Held Jr.,John Evans,A
Tod Jorgenssen,John Evans,A
Buster Cleveland,John Evans,A
Robert Ebendorf,Louis Bailey,A
David Geiger,John Evans,A
HICO,John Evans,A
Robert Ebendorf,Louis Bailey,A
HICO,John Evans,A
Ray Johnson,David Bourdon,A
Michael Leigh,John Evans,A
Louis Bailey,Robert Ebendorf,A
Robert Ebendorf,Louis Bailey,A
John Tostada,John Evans,A
Richard Canard,John Evans,A
Guy Bleus,John Evans,A
Stacey Aspey,Gregory Battcock,A
Lenore Tawney,Maryette Charlton,A
Lenore Tawney,Maryette Charlton,A
Lenore Tawney,Maryette Charlton,A
Robert Morilla,John Evans,A
Lenore Tawney,Kirk Winslow,A
Anna Banana,John Evans,A
Ray Johnson,Helen DeMott,A
Ray Johnson,Sam Wagstaff,A
John Baldessari,Lucy Lippard,A
Anna Banana,John Evans,A
Ryosuke Cohen,John Evans,A
Lenore Tawney,Maryette Charlton,A
Lenore Tawney,Maryette Charlton,A
Lenore Tawney,Maryette Charlton,A
Wallace Berman,Shirley Berman,A
Lenore Tawney,Maryette Charlton,A
Lenore Tawney,Maryette Charlton,A
Leslie Caldera,John Evans,A
Buster Cleveland,John Evans,A
Lenore Tawney,Maryette Charlton,A
Jay DeFeo,Wallace Berman,A
Ray Johnson,Lucy Lippard,A
Blaster Al Ackerman,John Evans,A
Unknown sender,John Evans,A
Richard Meltzer,Billy Al Bengston,A
Richard Tuttle,Samuel J. Wagstaff,A
Ray Johnson,Samuel J. Wagstaff,A
John Baldessari,Billy Al Bengston,A
Blaster Al Ackerman,John Evans,A
Bay Area Dadaists,Lucy Lippard,A
Lenore Tawney,Lillian Olinsey Kiesler,A
Billy Al Bengston,unidentified recipients,A
Ray Johnson,Samuel J. Wagstaff,A
Bay Area Dadaists,Lucy Lippard,A
Ray Johnson,Samuel J. Wagstaff,A
Lenore Tawney,Lillian Olinsey Kiesler,A
Lenore Tawney,Lillian Olinsey Kiesler,A
Richard Tuttle,Samuel J. Wagstaff,A
Felix Partz,Billy Al Bengston,A
George Brecht,Samuel J. Wagstaff,A
Ray Johnson,Lucy Lippard,A
Miguel Cubiles,Ramon Carulla,A
Ray Johnson,Dr. Frye and Lucy Lippard,A
Les Petites Bons-bons,Lucy Lippard,A
Joseph Kosuth,Lucy Lippard,A
Anna Banana,John Evans,A
Lenore Tawney,Maryette Charlton,A
Lenore Tawney,Maryette Charlton,A
Miguel Cubiles,Giulio V. Blanc,A
